Time,Count,Cpu Load,Temp,Throttle,Fan Speed,Cpu Freq,Cpu Mem,Cpu Disk,Times,Msg,
14/11/2019 21:00:29,0.002,55.991%,55.99C,0%,0%,0.6GHz,76.5%,69.4%,0s/0s,NoFlag,
14/11/2019 21:00:34,0.003,3.5%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.999784s/1.328198s,NoFlag,
14/11/2019 21:00:39,0.004,4.0%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.999866s/1.304482s,NoFlag,
14/11/2019 21:00:44,0.005,1.2%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.999866s/1.318822s,NoFlag,
14/11/2019 21:00:49,0.006,9.6%,54.53C,-80.9%,0%,0.6GHz,76.6%,69.4%,4.999832s/1.319337s,NoFlag,
14/11/2019 21:00:54,0.007,4.5%,54.53C,-80.9%,0%,0.6GHz,76.6%,69.4%,4.999866s/1.290382s,NoFlag,
14/11/2019 21:00:59,0.008,1.0%,54.53C,-80.9%,0%,0.6GHz,76.6%,69.4%,4.999823s/1.366089s,NoFlag,
14/11/2019 21:01:04,0.009,4.5%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.999889s/1.299682s,NoFlag,
14/11/2019 21:01:09,0.01,3.5%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.999884s/1.311853s,NoFlag,
14/11/2019 21:01:14,0.011,7.8%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.999912s/1.299282s,NoFlag,
14/11/2019 21:01:19,0.012,4.1%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.99985s/1.337286s,NoFlag,
14/11/2019 21:01:24,0.013,4.5%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.999886s/1.335313s,NoFlag,
14/11/2019 21:01:29,0.014,2.5%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.998867s/1.694712s,NoFlag,
14/11/2019 21:01:34,0.015,4.0%,53.56C,-93.1%,0%,0.6GHz,76.5%,69.4%,4.998846s/1.30065s,NoFlag,
14/11/2019 21:01:39,0.016,9.3%,54.04C,-87.0%,0%,0.6GHz,76.6%,69.4%,5.000053s/1.285755s,NoFlag,
14/11/2019 21:01:44,0.017,3.2%,55.5C,-68.7%,0%,0.6GHz,76.6%,69.4%,5.000045s/1.294964s,NoFlag,
14/11/2019 21:01:49,0.018,3.7%,55.5C,-68.7%,0%,0.6GHz,76.6%,69.4%,4.999968s/1.367423s,NoFlag,
14/11/2019 21:01:54,0.019,7.9%,55.5C,-68.7%,0%,0.6GHz,76.6%,69.4%,5.000031s/1.307218s,NoFlag,
14/11/2019 21:01:59,0.02,1.0%,55.02C,-74.8%,0%,0.6GHz,76.6%,69.4%,4.996708s/1.303862s,NoFlag,
14/11/2019 21:02:04,0.021,5.3%,55.02C,-74.8%,0%,0.6GHz,76.7%,69.4%,5.000186s/1.288352s,NoFlag,
14/11/2019 21:02:09,0.022,3.5%,55.99C,-62.6%,0%,0.6GHz,76.6%,69.4%,5.000142s/1.307679s,NoFlag,
14/11/2019 21:02:14,0.023,0.3%,55.99C,-62.6%,0%,0.6GHz,76.6%,69.4%,4.997125s/1.299069s,NoFlag,
14/11/2019 21:02:19,0.024,10.6%,54.53C,-80.9%,0%,0.6GHz,76.6%,69.4%,5.000296s/1.30681s,NoFlag,
14/11/2019 21:02:24,0.025,4.0%,55.5C,-68.7%,0%,0.6GHz,76.9%,69.4%,5.000322s/1.289808s,NoFlag,
14/11/2019 21:02:29,0.026,0.5%,55.5C,-68.7%,0%,0.6GHz,76.9%,69.4%,4.999997s/1.591537s,NoFlag,
14/11/2019 21:02:34,0.027,3.0%,55.5C,-68.7%,0%,0.6GHz,76.9%,69.4%,5.000287s/1.313735s,NoFlag,
14/11/2019 21:02:39,0.028,4.2%,55.02C,-74.8%,0%,0.6GHz,76.9%,69.4%,5.000285s/1.295357s,NoFlag,
14/11/2019 21:02:44,0.029,8.3%,55.02C,-74.8%,0%,0.6GHz,76.9%,69.4%,5.000263s/1.30188s,NoFlag,
14/11/2019 21:02:49,0.03,3.8%,54.53C,-80.9%,0%,0.6GHz,77.0%,69.4%,5.000244s/1.30856s,NoFlag,
14/11/2019 21:02:54,0.031,3.0%,55.02C,-74.8%,0%,0.6GHz,77.0%,69.4%,5.000253s/1.283604s,NoFlag,
14/11/2019 21:02:59,0.032,0.7%,54.53C,-80.9%,0%,0.6GHz,77.0%,69.4%,4.997605s/1.279111s,NoFlag,
14/11/2019 21:03:04,0.033,3.5%,55.02C,-74.8%,0%,0.6GHz,77.0%,69.4%,5.000339s/1.307668s,NoFlag,
14/11/2019 21:03:09,0.034,9.9%,55.99C,-62.6%,0%,0.6GHz,76.9%,69.4%,5.000401s/1.302425s,NoFlag,
14/11/2019 21:03:14,0.035,0.5%,55.02C,-74.8%,0%,0.6GHz,76.9%,69.4%,4.999927s/1.29851s,NoFlag,
14/11/2019 21:03:19,0.036,3.5%,54.53C,-80.9%,0%,0.6GHz,76.9%,69.4%,5.000284s/1.329272s,NoFlag,
14/11/2019 21:03:24,0.037,4.2%,55.5C,-68.7%,0%,0.6GHz,76.9%,69.4%,5.000315s/1.281253s,NoFlag,
14/11/2019 21:03:29,0.038,1.0%,55.99C,-62.6%,0%,0.6GHz,76.9%,69.4%,5.000008s/1.57104s,NoFlag,
14/11/2019 21:03:34,0.039,6.4%,54.04C,-87.0%,0%,1.5GHz,76.9%,69.4%,5.000305s/1.289761s,NoFlag,
14/11/2019 21:03:39,0.04,3.2%,55.02C,-74.8%,0%,0.6GHz,76.9%,69.4%,4.999797s/1.287048s,NoFlag,
14/11/2019 21:03:44,0.041,1.2%,54.53C,-80.9%,0%,0.6GHz,76.9%,69.4%,5.000296s/1.278211s,NoFlag,
14/11/2019 21:03:49,0.042,6.8%,55.02C,-74.8%,0%,0.6GHz,77.0%,69.4%,5.000292s/1.278908s,NoFlag,
14/11/2019 21:03:54,0.043,6.0%,55.02C,-74.8%,0%,0.6GHz,77.0%,69.4%,5.000264s/1.292978s,NoFlag,
14/11/2019 21:03:59,0.044,1.8%,55.5C,-68.7%,0%,0.6GHz,77.0%,69.4%,5.000252s/1.291119s,NoFlag,
14/11/2019 21:04:04,0.045,4.6%,55.5C,-68.7%,0%,0.6GHz,77.1%,69.4%,5.000218s/1.284354s,NoFlag,
14/11/2019 21:04:09,0.046,6.0%,55.02C,-74.8%,0%,0.6GHz,76.9%,69.4%,5.000223s/1.296272s,NoFlag,
14/11/2019 21:04:14,0.047,7.5%,56.48C,-56.5%,0%,0.6GHz,76.9%,69.4%,5.000001s/1.289384s,NoFlag,
14/11/2019 21:04:19,0.048,3.0%,55.99C,-62.6%,0%,0.6GHz,76.9%,69.4%,5.000048s/1.316656s,NoFlag,
14/11/2019 21:04:24,0.049,4.8%,55.02C,-74.8%,0%,0.6GHz,76.9%,69.4%,5.000218s/1.284145s,NoFlag,
14/11/2019 21:04:29,0.05,2.5%,55.02C,-74.8%,0%,0.6GHz,76.9%,69.4%,4.99982s/1.597323s,NoFlag,
14/11/2019 21:04:34,0.051,4.0%,55.5C,-68.7%,0%,0.6GHz,76.9%,69.4%,5.000205s/1.303833s,NoFlag,
14/11/2019 21:04:39,0.052,10.6%,54.53C,-80.9%,0%,0.6GHz,77.0%,69.4%,5.000191s/1.299866s,NoFlag,
14/11/2019 21:04:44,0.053,1.0%,54.53C,-80.9%,0%,0.6GHz,77.0%,69.4%,4.999612s/1.295203s,NoFlag,
14/11/2019 21:04:49,0.054,4.2%,55.99C,-62.6%,0%,0.6GHz,77.1%,69.4%,5.000193s/1.320351s,NoFlag,
14/11/2019 21:04:54,0.055,2.3%,54.53C,-80.9%,0%,0.6GHz,77.0%,69.4%,5.000355s/1.318898s,NoFlag,
14/11/2019 21:04:59,0.056,0.8%,55.02C,-74.8%,0%,0.6GHz,77.0%,69.4%,4.999452s/1.343366s,NoFlag,
14/11/2019 21:05:04,0.057,10.9%,54.53C,-80.9%,0%,0.6GHz,77.0%,69.4%,5.0002s/1.328531s,NoFlag,
14/11/2019 21:05:09,0.058,3.5%,55.99C,-62.6%,0%,0.6GHz,76.9%,69.4%,4.999716s/1.319346s,NoFlag,
14/11/2019 21:05:14,0.059,1.7%,55.5C,-68.7%,0%,0.6GHz,77.0%,69.4%,5.000078s/1.290113s,NoFlag,
14/11/2019 21:05:19,0.06,6.9%,54.53C,-80.9%,0%,0.6GHz,77.0%,69.4%,4.999959s/1.294398s,NoFlag,
14/11/2019 21:05:24,0.061,3.7%,55.02C,-74.8%,0%,0.6GHz,77.0%,69.4%,5.000204s/1.295801s,NoFlag,
14/11/2019 21:05:29,0.062,4.6%,55.5C,-68.7%,0%,0.6GHz,77.0%,69.4%,4.999823s/1.608964s,NoFlag,
14/11/2019 21:05:34,0.063,1.8%,55.5C,-68.7%,0%,0.6GHz,77.0%,69.4%,5.00019s/1.315802s,NoFlag,
