Time,Count,Cpu Load,Temp,Throttle,Fan Speed,Cpu Freq,Cpu Mem,Cpu Disk,Times,Msg,
14/11/2019 19:36:10,0.002,31.641%,31.15C,0%,0%,0.6GHz,73.2%,69.4%,0s/0s,NoFlag,
14/11/2019 19:36:15,0.003,3.5%,31.15C,-373.1%,0%,0.6GHz,73.3%,69.4%,5.000046s/1.058137s,NoFlag,
14/11/2019 19:36:20,0.004,6.7%,32.62C,-354.8%,0%,0.6GHz,73.4%,69.4%,4.997681s/1.034446s,NoFlag,
14/11/2019 19:36:25,0.005,12.0%,33.59C,-342.6%,0%,1.5GHz,73.2%,69.4%,5.000241s/1.035768s,NoFlag,
14/11/2019 19:36:30,0.006,10.5%,33.59C,-342.6%,0%,1.5GHz,73.2%,69.4%,4.998227s/1.030699s,NoFlag,
14/11/2019 19:36:35,0.007,0.3%,34.56C,-330.5%,0%,0.6GHz,73.2%,69.4%,5.000265s/1.029022s,NoFlag,
14/11/2019 19:36:40,0.008,2.3%,34.56C,-330.5%,0%,0.6GHz,73.2%,69.4%,5.000267s/1.036196s,NoFlag,
14/11/2019 19:36:45,0.009,9.8%,34.56C,-330.5%,0%,0.6GHz,73.3%,69.4%,5.000354s/1.048124s,NoFlag,
14/11/2019 19:36:50,0.01,0.3%,36.02C,-312.2%,0%,0.6GHz,73.3%,69.4%,5.000275s/1.030216s,NoFlag,
14/11/2019 19:36:55,0.011,4.5%,35.54C,-318.3%,0%,0.6GHz,73.3%,69.4%,5.000253s/1.03266s,NoFlag,
14/11/2019 19:37:00,0.012,4.0%,37.0C,-300.0%,0%,0.6GHz,73.3%,69.4%,5.000232s/1.035829s,NoFlag,
14/11/2019 19:37:05,0.013,0.8%,36.51C,-306.1%,0%,0.6GHz,73.3%,69.4%,5.000218s/1.035571s,NoFlag,
14/11/2019 19:37:10,0.014,8.5%,37.48C,-293.9%,0%,0.6GHz,73.3%,69.4%,4.999903s/1.059122s,NoFlag,
14/11/2019 19:37:15,0.015,4.5%,36.02C,-312.2%,0%,0.6GHz,73.3%,69.4%,5.000218s/1.035121s,NoFlag,
14/11/2019 19:37:20,0.016,11.3%,37.0C,-300.0%,0%,1.5GHz,73.3%,69.4%,5.000201s/1.035865s,NoFlag,
14/11/2019 19:37:25,0.017,6.6%,39.92C,-263.5%,0%,0.6GHz,73.5%,69.4%,5.000148s/1.032811s,NoFlag,
14/11/2019 19:37:30,0.018,6.7%,37.48C,-293.9%,0%,0.6GHz,73.5%,69.4%,5.000166s/1.03509s,NoFlag,
14/11/2019 19:37:35,0.019,1.5%,38.95C,-275.7%,0%,0.6GHz,73.5%,69.4%,5.000173s/1.037917s,NoFlag,
14/11/2019 19:37:40,0.02,2.3%,39.92C,-263.5%,0%,0.6GHz,73.6%,69.4%,5.000141s/1.035199s,NoFlag,
14/11/2019 19:37:45,0.021,3.0%,39.92C,-263.5%,0%,0.6GHz,73.6%,69.4%,5.00014s/1.034289s,NoFlag,
14/11/2019 19:37:50,0.022,6.8%,39.43C,-269.6%,0%,0.6GHz,73.6%,69.4%,5.000151s/1.034754s,NoFlag,
14/11/2019 19:37:55,0.023,2.5%,39.92C,-263.5%,0%,0.6GHz,73.6%,69.4%,5.000147s/1.037713s,NoFlag,
14/11/2019 19:38:00,0.024,3.8%,39.92C,-263.5%,0%,0.6GHz,73.6%,69.4%,5.000159s/1.035456s,NoFlag,
14/11/2019 19:38:05,0.025,1.5%,40.41C,-257.4%,0%,0.6GHz,73.6%,69.4%,5.000149s/1.034752s,NoFlag,
14/11/2019 19:38:10,0.026,3.5%,40.41C,-257.4%,0%,0.6GHz,73.6%,69.4%,5.000111s/1.056841s,NoFlag,
14/11/2019 19:38:15,0.027,10.3%,39.92C,-263.5%,0%,0.6GHz,73.6%,69.4%,5.000121s/1.035313s,NoFlag,
14/11/2019 19:38:20,0.028,1.0%,40.89C,-251.3%,0%,0.6GHz,73.6%,69.4%,5.000126s/1.035814s,NoFlag,
14/11/2019 19:38:25,0.029,3.0%,40.89C,-251.3%,0%,0.6GHz,73.6%,69.4%,5.000107s/1.038344s,NoFlag,
14/11/2019 19:38:30,0.03,52.3%,42.35C,-233.1%,0%,1.5GHz,74.8%,69.4%,5.000088s/1.035663s,NoFlag,
14/11/2019 19:38:35,0.031,1.2%,42.35C,-233.1%,0%,0.6GHz,73.7%,69.4%,5.000063s/1.031595s,NoFlag,
14/11/2019 19:38:40,0.032,12.1%,41.38C,-245.2%,0%,0.6GHz,73.7%,69.4%,5.000077s/1.033899s,NoFlag,
14/11/2019 19:38:45,0.033,3.3%,41.38C,-245.2%,0%,0.6GHz,73.7%,69.4%,4.996359s/1.034582s,NoFlag,
14/11/2019 19:38:50,0.034,0.0%,41.38C,-245.2%,0%,0.6GHz,73.7%,69.4%,5.00027s/1.036726s,NoFlag,
14/11/2019 19:38:55,0.035,5.1%,41.38C,-245.2%,0%,0.6GHz,73.7%,69.4%,5.000259s/1.037819s,NoFlag,
14/11/2019 19:39:00,0.036,5.5%,41.87C,-239.1%,0%,0.6GHz,73.7%,69.4%,5.00025s/1.035289s,NoFlag,
14/11/2019 19:39:05,0.037,4.1%,42.84C,-227.0%,0%,0.6GHz,73.7%,69.4%,5.000235s/1.034692s,NoFlag,
14/11/2019 19:39:10,0.038,3.7%,42.84C,-227.0%,0%,0.6GHz,73.7%,69.4%,5.000203s/1.055919s,NoFlag,
14/11/2019 19:39:15,0.039,3.0%,42.84C,-227.0%,0%,0.6GHz,73.7%,69.4%,5.000216s/1.035434s,NoFlag,
14/11/2019 19:39:20,0.04,5.4%,42.84C,-227.0%,0%,0.6GHz,73.7%,69.4%,5.000176s/1.033286s,NoFlag,
14/11/2019 19:39:25,0.041,3.7%,42.35C,-233.1%,0%,0.6GHz,73.7%,69.4%,5.000169s/1.034409s,NoFlag,
14/11/2019 19:39:30,0.042,2.5%,42.84C,-227.0%,0%,0.6GHz,73.7%,69.4%,5.00018s/1.038638s,NoFlag,
14/11/2019 19:39:35,0.043,0.8%,42.84C,-227.0%,0%,0.6GHz,73.7%,69.4%,5.000177s/1.035725s,NoFlag,
14/11/2019 19:39:40,0.044,4.3%,43.33C,-220.9%,0%,0.6GHz,73.8%,69.4%,5.000139s/1.035283s,NoFlag,
14/11/2019 19:39:45,0.045,12.2%,42.84C,-227.0%,0%,1.5GHz,73.7%,69.4%,5.000139s/1.034351s,NoFlag,
14/11/2019 19:39:50,0.046,12.5%,43.33C,-220.9%,0%,1.5GHz,73.7%,69.4%,5.000161s/1.03125s,NoFlag,
14/11/2019 19:39:55,0.047,2.3%,43.82C,-214.8%,0%,0.6GHz,73.7%,69.4%,5.000121s/1.030866s,NoFlag,
14/11/2019 19:40:00,0.048,4.0%,44.3C,-208.7%,0%,0.6GHz,73.8%,69.4%,5.000137s/1.034883s,NoFlag,
14/11/2019 19:40:05,0.049,3.3%,43.33C,-220.9%,0%,0.6GHz,73.8%,69.4%,5.000138s/1.038315s,NoFlag,
14/11/2019 19:40:10,0.05,9.6%,43.82C,-214.8%,0%,0.6GHz,73.8%,69.4%,5.000076s/1.084896s,NoFlag,
14/11/2019 19:40:15,0.051,3.5%,44.3C,-208.7%,0%,0.6GHz,73.8%,69.4%,4.999887s/1.039409s,NoFlag,
14/11/2019 19:40:20,0.052,2.3%,43.33C,-220.9%,0%,0.6GHz,73.8%,69.4%,5.00016s/1.035495s,NoFlag,
14/11/2019 19:40:25,0.053,2.5%,44.3C,-208.7%,0%,0.6GHz,73.8%,69.4%,5.000119s/1.035563s,NoFlag,
14/11/2019 19:40:30,0.054,3.5%,43.82C,-214.8%,0%,0.6GHz,73.8%,69.4%,5.000114s/1.035879s,NoFlag,
14/11/2019 19:40:35,0.055,8.8%,43.82C,-214.8%,0%,0.6GHz,73.8%,69.4%,5.000141s/1.03534s,NoFlag,
14/11/2019 19:40:40,0.056,2.5%,43.82C,-214.8%,0%,0.6GHz,73.9%,69.4%,4.997493s/1.037451s,NoFlag,
14/11/2019 19:40:45,0.057,3.2%,45.76C,-190.4%,0%,0.6GHz,73.8%,69.4%,5.000173s/1.03861s,NoFlag,
14/11/2019 19:40:50,0.058,3.8%,44.79C,-202.6%,0%,0.6GHz,73.8%,69.4%,5.000193s/1.03538s,NoFlag,
