Time,Count,Cpu Load,Temp,Throttle,Fan Speed,Cpu Freq,Cpu Mem,Cpu Disk,Times,Msg,
14/11/2019 22:07:28,0.002,47.225%,47.23C,0%,0%,0.6GHz,83.5%,69.4%,0s/0s,NoFlag,
14/11/2019 22:07:33,0.003,1.0%,45.76C,-190.4%,0%,0.6GHz,83.5%,69.4%,4.9998s/1.320332s,NoFlag,
14/11/2019 22:07:38,0.004,2.8%,46.74C,-178.3%,0%,0.6GHz,83.5%,69.4%,4.997616s/1.307752s,NoFlag,
14/11/2019 22:07:43,0.005,3.5%,46.25C,-184.4%,0%,0.6GHz,83.5%,69.4%,5.000095s/1.278757s,NoFlag,
14/11/2019 22:07:48,0.006,7.7%,48.2C,-160.0%,0%,0.6GHz,83.5%,69.4%,5.000085s/1.282757s,NoFlag,
14/11/2019 22:07:53,0.007,3.3%,48.2C,-160.0%,0%,0.6GHz,83.6%,69.4%,5.000054s/1.28873s,NoFlag,
