Time,Count,Cpu Load,Temp,Throttle,Fan Speed,Cpu Freq,Cpu Mem,Cpu Disk,Times,Msg,
14/11/2019 20:32:48,0.002,35.05%,36.02C,0%,0%,0.6GHz,78.9%,69.4%,0s/0s,NoFlag,
14/11/2019 20:32:53,0.003,8.6%,36.02C,-312.2%,0%,0.6GHz,78.9%,69.4%,4.999777s/1.323114s,NoFlag,
14/11/2019 20:32:58,0.004,3.0%,35.05C,-324.4%,0%,0.6GHz,78.9%,69.4%,4.999872s/1.285266s,NoFlag,
14/11/2019 20:33:03,0.005,2.8%,37.48C,-293.9%,0%,0.6GHz,78.9%,69.4%,4.99706s/1.296152s,NoFlag,
14/11/2019 20:33:08,0.006,3.5%,37.0C,-300.0%,0%,0.6GHz,78.9%,69.4%,4.999985s/1.334771s,NoFlag,
14/11/2019 20:33:13,0.007,2.8%,37.48C,-293.9%,0%,0.6GHz,78.9%,69.4%,4.999112s/1.314925s,NoFlag,
14/11/2019 20:33:18,0.008,9.3%,37.97C,-287.8%,0%,0.6GHz,78.9%,69.4%,5.000087s/1.285182s,NoFlag,
14/11/2019 20:33:23,0.009,2.5%,38.95C,-275.7%,0%,0.6GHz,78.9%,69.4%,5.000077s/1.279216s,NoFlag,
14/11/2019 20:33:28,0.01,3.3%,39.43C,-269.6%,0%,0.6GHz,78.9%,69.4%,4.999865s/1.285488s,NoFlag,
14/11/2019 20:33:33,0.011,2.3%,39.92C,-263.5%,0%,0.6GHz,79.0%,69.4%,4.997007s/1.298447s,NoFlag,
14/11/2019 20:33:38,0.012,4.0%,40.89C,-251.3%,0%,0.6GHz,79.0%,69.4%,5.00021s/1.29976s,NoFlag,
14/11/2019 20:33:43,0.013,18.2%,41.38C,-245.2%,0%,0.6GHz,78.9%,69.4%,5.00022s/1.292757s,NoFlag,
14/11/2019 20:33:48,0.014,1.3%,41.87C,-239.1%,0%,0.6GHz,78.9%,69.4%,4.999906s/1.56843s,NoFlag,
14/11/2019 20:33:53,0.015,4.7%,41.38C,-245.2%,0%,0.6GHz,78.9%,69.4%,5.000165s/1.303352s,NoFlag,
14/11/2019 20:33:58,0.016,4.2%,41.38C,-245.2%,0%,0.6GHz,78.8%,69.4%,5.000242s/1.272961s,NoFlag,
14/11/2019 20:34:03,0.017,5.0%,42.35C,-233.1%,0%,1.5GHz,78.9%,69.4%,4.999409s/1.286268s,NoFlag,
14/11/2019 20:34:08,0.018,8.2%,42.84C,-227.0%,0%,1.5GHz,78.9%,69.4%,5.000162s/1.31302s,NoFlag,
14/11/2019 20:34:13,0.019,3.0%,42.84C,-227.0%,0%,0.6GHz,79.0%,69.4%,5.000224s/1.305452s,NoFlag,
14/11/2019 20:34:18,0.02,1.3%,42.35C,-233.1%,0%,0.6GHz,79.0%,69.4%,5.000182s/1.307689s,NoFlag,
14/11/2019 20:34:23,0.021,7.6%,42.35C,-233.1%,0%,0.6GHz,79.0%,69.4%,5.000157s/1.328902s,NoFlag,
14/11/2019 20:34:28,0.022,3.3%,43.33C,-220.9%,0%,0.6GHz,79.0%,69.4%,5.000188s/1.308714s,NoFlag,
14/11/2019 20:34:33,0.023,3.0%,43.33C,-220.9%,0%,0.6GHz,79.0%,69.4%,5.000174s/1.304846s,NoFlag,
14/11/2019 20:34:38,0.024,2.8%,42.84C,-227.0%,0%,0.6GHz,79.0%,69.4%,5.000145s/1.300829s,NoFlag,
14/11/2019 20:34:43,0.025,8.5%,44.79C,-202.6%,0%,1.5GHz,79.0%,69.4%,5.000149s/1.294587s,NoFlag,
14/11/2019 20:34:48,0.026,7.8%,44.3C,-208.7%,0%,0.6GHz,79.1%,69.4%,4.999822s/1.587733s,NoFlag,
14/11/2019 20:34:53,0.027,3.3%,44.3C,-208.7%,0%,0.6GHz,79.1%,69.4%,5.000132s/1.306577s,NoFlag,
14/11/2019 20:34:58,0.028,3.5%,44.79C,-202.6%,0%,0.6GHz,79.1%,69.4%,5.000171s/1.288954s,NoFlag,
14/11/2019 20:35:03,0.029,1.5%,44.3C,-208.7%,0%,0.6GHz,79.1%,69.4%,5.000113s/1.321417s,NoFlag,
14/11/2019 20:35:08,0.03,3.3%,44.79C,-202.6%,0%,0.6GHz,79.0%,69.4%,5.000104s/1.315187s,NoFlag,
14/11/2019 20:35:13,0.031,11.9%,45.28C,-196.5%,0%,0.6GHz,79.0%,69.4%,5.000119s/1.30953s,NoFlag,
14/11/2019 20:35:18,0.032,3.2%,44.79C,-202.6%,0%,0.6GHz,79.0%,69.4%,5.000122s/1.29119s,NoFlag,
14/11/2019 20:35:23,0.033,3.0%,44.3C,-208.7%,0%,0.6GHz,79.0%,69.4%,5.000065s/1.336944s,NoFlag,
14/11/2019 20:35:28,0.034,4.2%,44.79C,-202.6%,0%,0.6GHz,79.0%,69.4%,5.00008s/1.312634s,NoFlag,
14/11/2019 20:35:33,0.035,1.0%,44.79C,-202.6%,0%,0.6GHz,79.0%,69.4%,5.000097s/1.293818s,NoFlag,
14/11/2019 20:35:38,0.036,9.1%,45.28C,-196.5%,0%,0.6GHz,79.0%,69.4%,5.000048s/1.342316s,NoFlag,
14/11/2019 20:35:43,0.037,6.3%,45.76C,-190.4%,0%,1.5GHz,79.0%,69.4%,5.000084s/1.296975s,NoFlag,
14/11/2019 20:35:48,0.038,0.8%,46.25C,-184.4%,0%,0.6GHz,79.0%,69.4%,4.999592s/1.789412s,NoFlag,
14/11/2019 20:35:53,0.039,5.3%,45.76C,-190.4%,0%,0.6GHz,79.0%,69.4%,5.000074s/1.327934s,NoFlag,
14/11/2019 20:35:58,0.04,5.5%,46.25C,-184.4%,0%,0.6GHz,79.0%,69.4%,5.000063s/1.334265s,NoFlag,
14/11/2019 20:36:03,0.041,4.9%,44.79C,-202.6%,0%,0.6GHz,79.0%,69.4%,5.00007s/1.322373s,NoFlag,
14/11/2019 20:36:08,0.042,4.5%,44.79C,-202.6%,0%,0.6GHz,79.0%,69.4%,5.000061s/1.327849s,NoFlag,
14/11/2019 20:36:13,0.043,5.5%,45.76C,-190.4%,0%,0.6GHz,79.0%,69.4%,5.00009s/1.30016s,NoFlag,
14/11/2019 20:36:18,0.044,6.9%,46.25C,-184.4%,0%,0.6GHz,79.0%,69.4%,4.998007s/1.313065s,NoFlag,
14/11/2019 20:36:23,0.045,4.5%,46.25C,-184.4%,0%,0.6GHz,79.0%,69.4%,5.000164s/1.327405s,NoFlag,
14/11/2019 20:36:28,0.046,4.8%,45.76C,-190.4%,0%,0.6GHz,79.0%,69.4%,5.000188s/1.293691s,NoFlag,
14/11/2019 20:36:33,0.047,0.7%,46.74C,-178.3%,0%,0.6GHz,79.0%,69.4%,5.000178s/1.291888s,NoFlag,
14/11/2019 20:36:38,0.048,3.7%,46.25C,-184.4%,0%,0.6GHz,79.0%,69.4%,5.000153s/1.299987s,NoFlag,
14/11/2019 20:36:43,0.049,11.8%,46.74C,-178.3%,0%,0.6GHz,79.0%,69.4%,5.000152s/1.293905s,NoFlag,
14/11/2019 20:36:48,0.05,1.0%,45.76C,-190.4%,0%,0.6GHz,79.0%,69.4%,4.999847s/1.582379s,NoFlag,
14/11/2019 20:36:53,0.051,3.0%,47.23C,-172.2%,0%,0.6GHz,79.0%,69.4%,5.000181s/1.28091s,NoFlag,
14/11/2019 20:36:58,0.052,5.0%,47.71C,-166.1%,0%,0.6GHz,79.0%,69.4%,4.997041s/1.302234s,NoFlag,
14/11/2019 20:37:03,0.053,0.5%,47.23C,-172.2%,0%,0.6GHz,79.0%,69.4%,5.000297s/1.291608s,NoFlag,
14/11/2019 20:37:08,0.054,9.1%,47.23C,-172.2%,0%,0.6GHz,79.0%,69.4%,5.000336s/1.295083s,NoFlag,
14/11/2019 20:37:13,0.055,3.5%,46.74C,-178.3%,0%,0.6GHz,79.0%,69.4%,5.000263s/1.293624s,NoFlag,
14/11/2019 20:37:18,0.056,0.0%,47.23C,-172.2%,0%,0.6GHz,79.0%,69.4%,5.000252s/1.293696s,NoFlag,
14/11/2019 20:37:23,0.057,4.3%,47.23C,-172.2%,0%,0.6GHz,79.1%,69.4%,5.000244s/1.286587s,NoFlag,
14/11/2019 20:37:28,0.058,4.2%,47.23C,-172.2%,0%,0.6GHz,79.3%,69.4%,5.000198s/1.30284s,NoFlag,
14/11/2019 20:37:33,0.059,6.5%,47.23C,-172.2%,0%,0.6GHz,79.3%,69.4%,5.000224s/1.286321s,NoFlag,
14/11/2019 20:37:38,0.06,2.8%,47.23C,-172.2%,0%,0.6GHz,79.4%,69.4%,5.000177s/1.294211s,NoFlag,
14/11/2019 20:37:43,0.061,3.5%,47.71C,-166.1%,0%,0.6GHz,79.3%,69.4%,5.000196s/1.290836s,NoFlag,
14/11/2019 20:37:48,0.062,2.0%,47.71C,-166.1%,0%,0.6GHz,79.3%,69.4%,4.999875s/1.611883s,NoFlag,
14/11/2019 20:37:53,0.063,2.8%,47.71C,-166.1%,0%,0.6GHz,79.3%,69.4%,5.000177s/1.306733s,NoFlag,
14/11/2019 20:37:58,0.064,9.2%,46.74C,-178.3%,0%,0.6GHz,79.3%,69.4%,5.000184s/1.291435s,NoFlag,
14/11/2019 20:38:03,0.065,1.0%,47.71C,-166.1%,0%,0.6GHz,79.3%,69.4%,5.000174s/1.282249s,NoFlag,
14/11/2019 20:38:08,0.066,4.2%,48.69C,-153.9%,0%,0.6GHz,79.3%,69.4%,5.000093s/1.362458s,NoFlag,
14/11/2019 20:38:13,0.067,9.8%,48.69C,-153.9%,0%,0.6GHz,79.5%,69.4%,5.000159s/1.293233s,NoFlag,
14/11/2019 20:38:18,0.068,1.0%,49.17C,-147.8%,0%,0.6GHz,79.3%,69.4%,5.000147s/1.298099s,NoFlag,
14/11/2019 20:38:23,0.069,5.0%,48.69C,-153.9%,0%,0.6GHz,79.3%,69.4%,5.0001s/1.289878s,NoFlag,
14/11/2019 20:38:28,0.07,3.5%,47.71C,-166.1%,0%,0.6GHz,79.3%,69.4%,5.000135s/1.27412s,NoFlag,
14/11/2019 20:38:33,0.071,0.2%,48.69C,-153.9%,0%,0.6GHz,79.3%,69.4%,5.00014s/1.287914s,NoFlag,
14/11/2019 20:38:38,0.072,26.6%,48.69C,-153.9%,0%,1.5GHz,79.4%,69.4%,5.000124s/1.287653s,NoFlag,
14/11/2019 20:38:43,0.073,4.5%,49.17C,-147.8%,0%,0.6GHz,79.4%,69.4%,5.000085s/1.281228s,NoFlag,
14/11/2019 20:38:48,0.074,1.7%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,4.999827s/1.56614s,NoFlag,
14/11/2019 20:38:53,0.075,2.3%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,5.000127s/1.291865s,NoFlag,
14/11/2019 20:38:58,0.076,4.2%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,5.000119s/1.295898s,NoFlag,
14/11/2019 20:39:03,0.077,7.8%,48.2C,-160.0%,0%,0.6GHz,79.5%,69.4%,5.000123s/1.28516s,NoFlag,
14/11/2019 20:39:08,0.078,3.5%,47.23C,-172.2%,0%,0.6GHz,79.5%,69.4%,5.00011s/1.293383s,NoFlag,
14/11/2019 20:39:13,0.079,3.3%,48.69C,-153.9%,0%,0.6GHz,79.5%,69.4%,5.000082s/1.317124s,NoFlag,
14/11/2019 20:39:18,0.08,0.8%,50.15C,-135.7%,0%,0.6GHz,79.4%,69.4%,5.000093s/1.297744s,NoFlag,
14/11/2019 20:39:23,0.081,3.7%,49.66C,-141.8%,0%,0.6GHz,79.4%,69.4%,5.000096s/1.300925s,NoFlag,
14/11/2019 20:39:28,0.082,9.3%,48.69C,-153.9%,0%,0.6GHz,79.4%,69.4%,5.000085s/1.302909s,NoFlag,
14/11/2019 20:39:33,0.083,1.0%,48.69C,-153.9%,0%,0.6GHz,79.4%,69.4%,5.000089s/1.282066s,NoFlag,
14/11/2019 20:39:38,0.084,3.5%,49.66C,-141.8%,0%,0.6GHz,79.4%,69.4%,5.000062s/1.310472s,NoFlag,
14/11/2019 20:39:43,0.085,5.9%,49.66C,-141.8%,0%,0.6GHz,79.4%,69.4%,5.000065s/1.305632s,NoFlag,
14/11/2019 20:39:48,0.086,1.8%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,4.999528s/1.876758s,NoFlag,
14/11/2019 20:39:53,0.087,4.8%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,5.000104s/1.296129s,NoFlag,
14/11/2019 20:39:58,0.088,4.0%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,5.000085s/1.297559s,NoFlag,
14/11/2019 20:40:03,0.089,0.8%,50.15C,-135.7%,0%,0.6GHz,79.5%,69.4%,5.000077s/1.298553s,NoFlag,
14/11/2019 20:40:08,0.09,9.1%,50.15C,-135.7%,0%,0.6GHz,79.5%,69.4%,5.000098s/1.283585s,NoFlag,
14/11/2019 20:40:13,0.091,3.5%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,5.000055s/1.314629s,NoFlag,
14/11/2019 20:40:18,0.092,0.3%,48.69C,-153.9%,0%,0.6GHz,79.5%,69.4%,4.99852s/1.31145s,NoFlag,
14/11/2019 20:40:23,0.093,4.3%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,5.000148s/1.292732s,NoFlag,
14/11/2019 20:40:28,0.094,4.0%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,5.000133s/1.299896s,NoFlag,
14/11/2019 20:40:33,0.095,7.3%,50.15C,-135.7%,0%,0.6GHz,79.5%,69.4%,5.000152s/1.303814s,NoFlag,
14/11/2019 20:40:38,0.096,3.3%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,5.000147s/1.288889s,NoFlag,
14/11/2019 20:40:43,0.097,4.7%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,5.000115s/1.312351s,NoFlag,
14/11/2019 20:40:48,0.098,0.0%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,4.999804s/1.584636s,NoFlag,
14/11/2019 20:40:53,0.099,3.0%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,5.000115s/1.312866s,NoFlag,
14/11/2019 20:40:58,0.1,10.4%,50.15C,-135.7%,0%,0.6GHz,79.5%,69.4%,5.000121s/1.292591s,NoFlag,
14/11/2019 20:41:03,0.101,2.7%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,5.000001s/1.293457s,NoFlag,
14/11/2019 20:41:08,0.102,4.0%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,4.998751s/1.410126s,NoFlag,
14/11/2019 20:41:13,0.103,4.3%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,5.00018s/1.288216s,NoFlag,
14/11/2019 20:41:18,0.104,0.5%,51.61C,-117.4%,0%,0.6GHz,79.5%,69.4%,5.000171s/1.287413s,NoFlag,
14/11/2019 20:41:23,0.105,8.8%,50.15C,-135.7%,0%,1.5GHz,79.5%,69.4%,5.000161s/1.290577s,NoFlag,
14/11/2019 20:41:28,0.106,4.5%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,5.000128s/1.28698s,NoFlag,
14/11/2019 20:41:33,0.107,0.8%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,5.000133s/1.311168s,NoFlag,
14/11/2019 20:41:38,0.108,8.6%,50.15C,-135.7%,0%,0.6GHz,79.5%,69.4%,5.000129s/1.296468s,NoFlag,
14/11/2019 20:41:43,0.109,4.0%,50.15C,-135.7%,0%,0.6GHz,79.5%,69.4%,5.000087s/1.334838s,NoFlag,
14/11/2019 20:41:48,0.11,0.5%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,4.999728s/1.662585s,NoFlag,
14/11/2019 20:41:53,0.111,3.5%,50.15C,-135.7%,0%,0.6GHz,79.5%,69.4%,4.999901s/1.289919s,NoFlag,
14/11/2019 20:41:58,0.112,3.8%,50.63C,-129.6%,0%,0.6GHz,79.5%,69.4%,5.000116s/1.319471s,NoFlag,
14/11/2019 20:42:03,0.113,7.0%,51.12C,-123.5%,0%,1.5GHz,79.5%,69.4%,5.0001s/1.301772s,NoFlag,
14/11/2019 20:42:08,0.114,2.5%,49.66C,-141.8%,0%,0.6GHz,79.5%,69.4%,5.000062s/1.316206s,NoFlag,
14/11/2019 20:42:13,0.115,3.5%,49.17C,-147.8%,0%,0.6GHz,79.5%,69.4%,4.999596s/1.290958s,NoFlag,
14/11/2019 20:42:18,0.116,0.3%,51.12C,-123.5%,0%,0.6GHz,79.5%,69.4%,5.000158s/1.294542s,NoFlag,
14/11/2019 20:42:23,0.117,3.0%,50.15C,-135.7%,0%,0.6GHz,79.5%,69.4%,5.000136s/1.304155s,NoFlag,
14/11/2019 20:42:28,0.118,9.7%,53.07C,-99.1%,0%,0.6GHz,79.9%,69.4%,4.997006s/1.316601s,NoFlag,
14/11/2019 20:42:33,0.119,0.5%,52.09C,-111.3%,0%,0.6GHz,79.8%,69.4%,5.000229s/1.308767s,NoFlag,
14/11/2019 20:42:38,0.12,4.5%,51.12C,-123.5%,0%,0.6GHz,79.8%,69.4%,5.000258s/1.293436s,NoFlag,
14/11/2019 20:42:43,0.121,3.5%,51.12C,-123.5%,0%,0.6GHz,79.8%,69.4%,5.000276s/1.287272s,NoFlag,
14/11/2019 20:42:48,0.122,1.5%,50.63C,-129.6%,0%,0.6GHz,79.9%,69.4%,4.999938s/1.599016s,NoFlag,
14/11/2019 20:42:53,0.123,12.8%,50.63C,-129.6%,0%,1.5GHz,80.0%,69.4%,5.000251s/1.284071s,NoFlag,
14/11/2019 20:42:58,0.124,8.2%,51.12C,-123.5%,0%,1.5GHz,79.8%,69.4%,5.000066s/1.431601s,NoFlag,
14/11/2019 20:43:03,0.125,1.0%,52.09C,-111.3%,0%,0.6GHz,79.8%,69.4%,4.999375s/1.302875s,NoFlag,
14/11/2019 20:43:08,0.126,4.1%,52.58C,-105.2%,0%,0.6GHz,79.8%,69.4%,5.00025s/1.31355s,NoFlag,
14/11/2019 20:43:13,0.127,5.5%,50.63C,-129.6%,0%,0.6GHz,79.8%,69.4%,5.000236s/1.282368s,NoFlag,
14/11/2019 20:43:18,0.128,4.3%,51.61C,-117.4%,0%,0.6GHz,79.8%,69.4%,5.00025s/1.286759s,NoFlag,
14/11/2019 20:43:23,0.129,7.0%,51.61C,-117.4%,0%,0.6GHz,79.9%,69.4%,5.000272s/1.284425s,NoFlag,
14/11/2019 20:43:28,0.13,13.3%,52.09C,-111.3%,0%,0.6GHz,79.8%,69.4%,5.000192s/1.309417s,NoFlag,
14/11/2019 20:43:33,0.131,11.6%,52.58C,-105.2%,0%,1.5GHz,79.7%,69.4%,5.000134s/1.313515s,NoFlag,
14/11/2019 20:43:38,0.132,2.7%,52.09C,-111.3%,0%,0.6GHz,79.7%,69.4%,5.000149s/1.30179s,NoFlag,
14/11/2019 20:43:43,0.133,5.2%,52.09C,-111.3%,0%,0.6GHz,79.7%,69.4%,5.000166s/1.323085s,NoFlag,
14/11/2019 20:43:48,0.134,1.0%,51.61C,-117.4%,0%,0.6GHz,79.9%,69.4%,4.999838s/1.621181s,NoFlag,
14/11/2019 20:43:53,0.135,2.5%,52.58C,-105.2%,0%,0.6GHz,79.8%,69.4%,5.000159s/1.332913s,NoFlag,
14/11/2019 20:43:58,0.136,8.6%,52.58C,-105.2%,0%,0.6GHz,79.8%,69.4%,5.000142s/1.296571s,NoFlag,
14/11/2019 20:44:03,0.137,3.5%,52.09C,-111.3%,0%,0.6GHz,79.8%,69.4%,5.000155s/1.293925s,NoFlag,
14/11/2019 20:44:08,0.138,2.0%,51.61C,-117.4%,0%,0.6GHz,79.8%,69.4%,4.996887s/1.353275s,NoFlag,
14/11/2019 20:44:13,0.139,4.2%,53.07C,-99.1%,0%,0.6GHz,79.7%,69.4%,5.000319s/1.297363s,NoFlag,
14/11/2019 20:44:18,0.14,1.5%,52.09C,-111.3%,0%,0.6GHz,79.7%,69.4%,4.999991s/1.28685s,NoFlag,
14/11/2019 20:44:23,0.141,8.6%,52.58C,-105.2%,0%,1.5GHz,79.8%,69.4%,5.000311s/1.295344s,NoFlag,
14/11/2019 20:44:28,0.142,3.2%,53.07C,-99.1%,0%,0.6GHz,79.8%,69.4%,4.996625s/1.292184s,NoFlag,
14/11/2019 20:44:33,0.143,2.0%,52.09C,-111.3%,0%,0.6GHz,79.8%,69.4%,5.000426s/1.287458s,NoFlag,
14/11/2019 20:44:38,0.144,2.3%,53.07C,-99.1%,0%,0.6GHz,79.8%,69.4%,5.00041s/1.3011s,NoFlag,
14/11/2019 20:44:43,0.145,3.0%,52.09C,-111.3%,0%,0.6GHz,79.8%,69.4%,5.000404s/1.306448s,NoFlag,
14/11/2019 20:44:48,0.146,7.5%,51.61C,-117.4%,0%,0.6GHz,79.8%,69.4%,5.00012s/1.582079s,NoFlag,
14/11/2019 20:44:53,0.147,2.2%,52.58C,-105.2%,0%,0.6GHz,79.8%,69.4%,5.000385s/1.278242s,NoFlag,
