Time,Count,Cpu Load,Temp,Throttle,Fan Speed,Cpu Freq,Cpu Mem,Cpu Disk,Times,Msg,
14/11/2019 20:01:32,0.002,32.128%,32.13C,0%,0%,0.6GHz,75.9%,69.4%,0s/0s,NoFlag,
14/11/2019 20:01:37,0.003,2.5%,31.15C,-373.1%,0%,0.6GHz,75.9%,69.4%,5.000066s/1.047817s,NoFlag,
14/11/2019 20:01:42,0.004,3.8%,33.1C,-348.7%,0%,0.6GHz,76.0%,69.4%,5.000089s/1.031384s,NoFlag,
14/11/2019 20:01:47,0.005,3.7%,32.62C,-354.8%,0%,0.6GHz,76.0%,69.4%,5.000085s/1.036014s,NoFlag,
14/11/2019 20:01:52,0.006,2.8%,33.59C,-342.6%,0%,0.6GHz,76.0%,69.4%,5.000109s/1.039153s,NoFlag,
14/11/2019 20:01:57,0.007,7.2%,33.59C,-342.6%,0%,0.6GHz,76.0%,69.4%,5.000103s/1.036037s,NoFlag,
14/11/2019 20:02:02,0.008,4.0%,33.1C,-348.7%,0%,0.6GHz,75.9%,69.4%,5.000091s/1.036772s,NoFlag,
14/11/2019 20:02:07,0.009,2.3%,35.54C,-318.3%,0%,0.6GHz,75.9%,69.4%,5.000093s/1.03757s,NoFlag,
